,New Rank,Title,Gross Income,Max Theaters,Opening Earnings,Opening Num Theaters,Release Dates,Studio,Brand
71,72,The Amazing Spider-Man 2,"$202,853,933","4,324","$91,608,337","4,324","May 2, 2014",Sony Pictures Releasing,Marvel Comics
72,73,Ralph Breaks the Internet,"$201,091,711","4,017","$56,237,634","4,017","Nov 21, 2018",Walt Disney Studios Motion Pictures,Walt Disney Animation Studios
73,74,Tangled,"$200,821,936","3,603","$48,767,052","3,603","Nov 24, 2010",Walt Disney Studios Motion Pictures,Walt Disney Animation Studios
74,75,Indiana Jones and the Last Crusade,"$197,171,806","2,327","$29,355,021","2,327","May 24, 1989",Paramount Pictures,Lucasfilm
75,76,Ice Age: Dawn of the Dinosaurs,"$196,573,705","4,102","$41,690,382","4,102","Jul 1, 2009",Twentieth Century Fox,Blue Sky Studios
76,77,Ice Age: The Meltdown,"$195,330,621","3,969","$68,033,544","3,969","Mar 31, 2006",Twentieth Century Fox,Blue Sky Studios
77,78,Toy Story,"$191,796,233","2,574","$29,140,617","2,574","Nov 22, 1995",Walt Disney Studios Motion Pictures,Pixar
78,79,Cars 2,"$191,452,396","4,115","$66,135,507","4,115","Jun 24, 2011",Walt Disney Studios Motion Pictures,Pixar
79,80,Spider-Man: Into the Spider-Verse,"$190,241,310","3,813","$35,363,376","3,813","Dec 14, 2018",Sony Pictures Releasing,Marvel Comics
80,81,Wreck-It Ralph,"$189,422,889","3,752","$49,038,712","3,752","Nov 2, 2012",Walt Disney Studios Motion Pictures,Walt Disney Animation Studios
81,82,Black Widow,"$183,651,655","4,275","$80,366,312","4,275","Jul 9, 2021",Walt Disney Studios Motion Pictures,Marvel Comics
82,83,Thor,"$181,030,624","3,963","$65,723,338","3,963","May 6, 2011",Paramount Pictures,Marvel Comics
83,84,Ant-Man,"$180,202,163","3,868","$57,225,526","3,868","Jul 17, 2015",Walt Disney Studios Motion Pictures,Marvel Comics
84,85,X-Men Origins: Wolverine,"$179,883,157","4,102","$85,058,003","4,102","May 1, 2009",Twentieth Century Fox,Marvel Comics
85,86,Indiana Jones and the Temple of Doom,"$179,870,271","1,687","$25,337,110","1,687","May 23, 1984",Paramount Pictures,Lucasfilm
86,87,Captain America: The First Avenger,"$176,654,505","3,715","$65,058,524","3,715","Jul 22, 2011",Paramount Pictures,Marvel Comics
87,88,Ice Age,"$176,387,405","3,345","$46,312,454","3,345","Mar 15, 2002",Twentieth Century Fox,Blue Sky Studios
88,89,Indiana Jones and the Dial of Destiny,"$174,480,468","4,600","$60,368,101","4,600","Jun 30, 2023",Walt Disney Studios Motion Pictures,Lucasfilm
89,90,Eternals,"$164,870,234","4,090","$71,297,219","4,090","Nov 5, 2021",Walt Disney Studios Motion Pictures,Marvel Comics
90,91,A Bug's Life,"$162,798,565","2,773","$291,121","2,773","Nov 20, 1998",Walt Disney Studios Motion Pictures,Pixar
91,92,Ice Age: Continental Drift,"$161,321,843","3,886","$46,629,259","3,886","Jul 13, 2012",Twentieth Century Fox,Blue Sky Studios
92,93,X-Men,"$157,299,718","3,112","$54,471,475","3,112","Jul 14, 2000",Twentieth Century Fox,Marvel Comics
93,94,X-Men: Apocalypse,"$155,442,489","4,153","$65,769,562","4,153","May 27, 2016",Twentieth Century Fox,Marvel Comics
94,95,Fantastic Four,"$154,696,080","3,619","$56,061,504","3,619","Jul 8, 2005",Twentieth Century Fox,Marvel Comics
95,96,Horton Hears a Who!,"$154,529,439","3,961","$45,012,998","3,961","Mar 14, 2008",Twentieth Century Fox,Blue Sky Studios
96,97,Elemental,"$154,426,697","4,035","$29,602,429","4,035","Jun 16, 2023",Walt Disney Studios Motion Pictures,Pixar
97,98,Cars 3,"$152,901,115","4,256","$53,688,680","4,256","Jun 16, 2017",Walt Disney Studios Motion Pictures,Pixar
98,99,X-Men: First Class,"$146,408,305","3,692","$55,101,604","3,692","Jun 3, 2011",Twentieth Century Fox,Marvel Comics
99,100,Rio,"$143,619,809","3,842","$39,225,962","3,842","Apr 15, 2011",Twentieth Century Fox,Blue Sky Studios
100,101,Star Wars: Episode IV - A New Hope1997 Special Edition,"$138,257,865","2,375","$35,906,661","2,375","Jan 31, 1997",Twentieth Century Fox,Lucasfilm
101,102,The Incredible Hulk,"$134,806,913","3,508","$55,414,050","3,508","Jun 13, 2008",Universal Pictures,Marvel Comics
102,103,The Wolverine,"$132,556,852","3,924","$53,113,752","3,924","Jul 26, 2013",Twentieth Century Fox,Marvel Comics
103,104,Hulk,"$132,177,234","3,674","$62,128,420","3,674","Jun 20, 2003",Universal Pictures,Marvel Comics
104,105,Fantastic Four: Rise of the Silver Surfer,"$131,921,738","3,963","$58,051,684","3,963","Jun 15, 2007",Twentieth Century Fox,Marvel Comics
105,106,Rio 2,"$131,538,435","3,975","$39,327,869","3,975","Apr 11, 2014",Twentieth Century Fox,Blue Sky Studios
106,107,The Peanuts Movie,"$130,178,411","3,902","$44,213,073","3,902","Nov 6, 2015",Twentieth Century Fox,Blue Sky Studios
107,108,Robots,"$128,200,012","3,776","$36,045,301","3,776","Mar 11, 2005",Twentieth Century Fox,Blue Sky Studios
108,109,The Good Dinosaur,"$123,087,120","3,749","$39,155,217","3,749","Nov 25, 2015",Walt Disney Studios Motion Pictures,Pixar
109,110,Lightyear,"$118,307,188","4,255","$50,577,961","4,255","Jun 17, 2022",Walt Disney Studios Motion Pictures,Pixar
110,111,Ghost Rider,"$115,802,596","3,620","$45,388,836","3,620","Feb 16, 2007",Sony Pictures Releasing,Marvel Comics
111,112,American Graffiti,"$115,000,000",-,-,-,"Aug 1, 1973",Universal Pictures,Lucasfilm
112,113,Bolt,"$114,053,579","3,654","$26,223,128","3,654","Nov 21, 2008",Walt Disney Studios Motion Pictures,Walt Disney Animation Studios
113,114,Epic,"$107,518,682","3,894","$33,531,068","3,894","May 24, 2013",Twentieth Century Fox,Blue Sky Studios
